gap_deg,gapM_deg,e_sat,e_tgt,alt_sat_km,alt_tgt_km,da_km,hohmann_dv,evec_dv,shape_lb_dv,condition,episode,seed,success,cause,steps,decisions,best_vrel_inbox,best_vrel,best_d_km,n_inbox,n_inbox_tau1,n_fine_rad,dv_used,plan_dv,n_plans,n_burns,n_warps,n_coast,min_d_km
-39.91,90.93,0.045,0.0054,556.2,428.6,127.6,70.85,186.43,186.43,C_tight1_s42,0,42,1,success,1943,443,1.6343,1.6343,1.877,5,1,0,234.0,206.67,1,56,219,168,1.88
165.15,151.8,0.0267,0.0052,394.1,461.7,-67.5,38.02,82.95,82.95,C_tight1_s42,1,42,0,safety_cap,2000,421,,7.2578,6.402,0,0,0,192.0,182.25,1,75,176,170,7.31
99.22,61.46,0.0264,0.0182,472.1,620.5,-148.4,81.41,61.96,81.41,C_tight1_s42,2,42,1,success,1998,284,1.0291,1.0291,1.429,1,0,0,187.0,183.59,1,60,167,57,1.43
-90.05,21.97,0.0095,0.0272,650.8,393.4,257.4,142.01,122.75,142.01,C_tight1_s42,3,42,0,safety_cap,2000,484,,17.6172,14.784,0,0,0,261.0,258.95,1,98,167,219,14.78
-90.64,54.51,0.0261,0.0125,618.7,490.2,128.6,70.41,140.95,140.95,C_tight1_s42,4,42,0,safety_cap,2000,428,1.3395,1.3395,3.123,10,3,0,193.0,187.33,1,64,193,171,3.12
-158.98,11.77,0.0233,0.0333,684.2,432.7,251.5,137.65,216.09,216.09,C_tight1_s42,5,42,0,safety_cap,2000,484,,13.0295,12.134,0,0,0,333.0,318.1,1,87,179,218,13.4
-110.69,157.35,0.0223,0.0172,565.6,453.7,111.9,61.9,109.4,109.4,C_tight1_s42,6,42,0,safety_cap,2000,359,1.5728,1.5728,2.757,4,0,0,189.0,175.35,1,68,179,112,2.76
-18.45,173.59,0.0183,0.0205,514.1,446.3,67.9,37.79,147.65,147.65,C_tight1_s42,7,42,0,safety_cap,2000,523,1.9285,1.9285,3.488,4,1,0,162.0,157.03,1,33,363,127,3.49
40.01,38.99,0.02,0.0266,539.0,710.8,-171.8,92.7,24.88,92.7,C_tight1_s42,8,42,0,safety_cap,2000,324,2.0417,2.0417,3.747,11,8,0,138.0,133.28,1,42,232,50,3.75
128.25,106.48,0.0193,0.0168,338.1,598.8,-260.7,145.51,27.42,145.51,C_tight1_s42,9,42,0,safety_cap,2000,399,,7.8658,6.645,0,0,0,152.0,147.9,1,80,157,162,6.65
95.25,51.07,0.0257,0.0098,442.2,794.6,-352.3,190.38,74.14,190.38,C_tight1_s42,10,42,0,safety_cap,2000,489,,10.5773,9.308,0,0,0,224.0,215.64,1,94,178,217,9.31
38.4,74.41,0.0259,0.0363,411.2,778.2,-367.0,199.35,80.7,199.35,C_tight1_s42,11,42,0,safety_cap,2000,475,,13.8342,12.119,0,0,0,262.0,232.63,1,103,169,203,12.12
90.47,-141.28,0.0172,0.0406,398.6,735.6,-337.0,184.14,198.56,198.56,C_tight1_s42,12,42,0,safety_cap,2000,476,,11.8697,10.778,0,0,0,354.0,273.5,1,96,181,199,10.78
126.21,-15.44,0.0065,0.0498,361.5,640.0,-278.6,154.39,207.69,207.69,C_tight1_s42,13,42,0,safety_cap,2000,474,,8.0613,7.59,0,0,0,281.0,281.79,1,60,194,220,7.59
64.11,-88.35,0.0125,0.0078,387.4,552.6,-165.3,92.21,74.97,92.21,C_tight1_s42,14,42,1,success,1952,291,,8.7563,7.356,0,0,0,162.0,156.78,1,51,184,56,7.36
